write_fact_A,query_B,expected_output_A
"Nama lengkap orang ini adalah Rini Pratama, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Rini Pratama
Bayu Santoso bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Bayu Santoso?,Penulis
Ayu Wijaya lahir dan dibesarkan di kota Manado.,Di mana Ayu Wijaya lahir dan dibesarkan?,Manado
Ayu memiliki peliharaan Kelinci yang diberi nama Milo.,Siapa nama Kelinci peliharaan Ayu?,Milo
Kode rahasia untuk User_799 adalah 698625.,Apa kode rahasia untuk User_799?,698625
"Nama lengkap orang ini adalah Eko Santoso, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Eko Santoso
Kode rahasia untuk User_913 adalah 180015.,Apa kode rahasia untuk User_913?,180015
"Nama lengkap orang ini adalah Hadi Siregar, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Hadi Siregar
"Nama lengkap orang ini adalah Dewi Lim, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Dewi Lim
Lia Lim lahir dan dibesarkan di kota Samarinda.,Di mana Lia Lim lahir dan dibesarkan?,Samarinda
Sari Suryono lahir dan dibesarkan di kota Bandung.,Di mana Sari Suryono lahir dan dibesarkan?,Bandung
Budi Rahman bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Budi Rahman?,Polisi
Kode rahasia untuk User_691 adalah 846261.,Apa kode rahasia untuk User_691?,846261
Kode rahasia untuk User_197 adalah 504375.,Apa kode rahasia untuk User_197?,504375
Joko Gunawan bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Joko Gunawan?,Programmer
Kendaraan sehari-hari Rina adalah mobil Mitsubishi berwarna Ungu.,Apa merek dan warna mobil Rina?,Mitsubishi berwarna Ungu
Kode rahasia untuk User_546 adalah 244463.,Apa kode rahasia untuk User_546?,244463
"Nama lengkap orang ini adalah Tono Setiawan, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Tono Setiawan
Rina Putra lahir dan dibesarkan di kota Banjarmasin.,Di mana Rina Putra lahir dan dibesarkan?,Banjarmasin
Mega Utama bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Mega Utama?,Pilot
"Nama lengkap orang ini adalah Nina Gunawan, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Nina Gunawan
Tono Hidayat lahir dan dibesarkan di kota Pontianak.,Di mana Tono Hidayat lahir dan dibesarkan?,Pontianak
Kode rahasia untuk User_465 adalah 693378.,Apa kode rahasia untuk User_465?,693378
Kode rahasia untuk User_257 adalah 664476.,Apa kode rahasia untuk User_257?,664476
Kode rahasia untuk User_263 adalah 319365.,Apa kode rahasia untuk User_263?,319365
Kendaraan sehari-hari Lia adalah mobil BMW berwarna Putih.,Apa merek dan warna mobil Lia?,BMW berwarna Putih
Kode rahasia untuk User_265 adalah 982747.,Apa kode rahasia untuk User_265?,982747
Lia Siregar lahir dan dibesarkan di kota Manado.,Di mana Lia Siregar lahir dan dibesarkan?,Manado
Kode rahasia untuk User_192 adalah 217353.,Apa kode rahasia untuk User_192?,217353
Doni Utama bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Doni Utama?,Penyanyi
Dedy Hidayat bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Dedy Hidayat?,Aktor
Rini memiliki peliharaan Kucing yang diberi nama Zorro.,Siapa nama Kucing peliharaan Rini?,Zorro
Kendaraan sehari-hari Fitri adalah mobil Ford berwarna Cokelat.,Apa merek dan warna mobil Fitri?,Ford berwarna Cokelat
Kendaraan sehari-hari Dewi adalah mobil Toyota berwarna Biru.,Apa merek dan warna mobil Dewi?,Toyota berwarna Biru
Fitri baru saja membeli mobil Honda yang warnanya Kuning.,Apa warna mobil Honda yang dibeli Fitri?,Kuning
Dian Wibowo bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Dian Wibowo?,Koki
Dian Rahman bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Dian Rahman?,Seniman
"Nama lengkap orang ini adalah Dedy Halim, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Dedy Halim
Maya memiliki peliharaan Kura-kura yang diberi nama Mochi.,Siapa nama Kura-kura peliharaan Maya?,Mochi
"Nama lengkap orang ini adalah Budi Rahman, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Budi Rahman
Kendaraan sehari-hari Eko adalah mobil Kia berwarna Emas.,Apa merek dan warna mobil Eko?,Kia berwarna Emas
"Nama lengkap orang ini adalah Tono Kusuma, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Tono Kusuma
Kendaraan sehari-hari Joko adalah mobil Hyundai berwarna Emas.,Apa merek dan warna mobil Joko?,Hyundai berwarna Emas
Kode rahasia untuk User_400 adalah 814096.,Apa kode rahasia untuk User_400?,814096
Kode rahasia untuk User_945 adalah 488218.,Apa kode rahasia untuk User_945?,488218
Kode rahasia untuk User_998 adalah 889727.,Apa kode rahasia untuk User_998?,889727
Hendra baru saja membeli mobil Hyundai yang warnanya Hijau.,Apa warna mobil Hyundai yang dibeli Hendra?,Hijau
Wati memiliki peliharaan Kucing yang diberi nama Daisy.,Siapa nama Kucing peliharaan Wati?,Daisy
Dewi memiliki peliharaan Bebek yang diberi nama Max.,Siapa nama Bebek peliharaan Dewi?,Max
Putri Purnama bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Putri Purnama?,Seniman
"Nama lengkap orang ini adalah Nina Gunawan, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Nina Gunawan
Ayu Suryono bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Ayu Suryono?,Nelayan
Andi Saputra bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Andi Saputra?,Pilot
Dedy baru saja membeli mobil Mercedes-Benz yang warnanya Hijau.,Apa warna mobil Mercedes-Benz yang dibeli Dedy?,Hijau
Putri Gunawan bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Putri Gunawan?,Seniman
Kendaraan sehari-hari Ayu adalah mobil Toyota berwarna Ungu.,Apa merek dan warna mobil Ayu?,Toyota berwarna Ungu
Kode rahasia untuk User_403 adalah 328287.,Apa kode rahasia untuk User_403?,328287
Kode rahasia untuk User_728 adalah 878826.,Apa kode rahasia untuk User_728?,878826
Kode rahasia untuk User_687 adalah 520764.,Apa kode rahasia untuk User_687?,520764
"Nama lengkap orang ini adalah Tono Suryono, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Tono Suryono
Dewi Putra bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Dewi Putra?,Desainer
Iwan memiliki peliharaan Bebek yang diberi nama Luna.,Siapa nama Bebek peliharaan Iwan?,Luna
Dewi baru saja membeli mobil Honda yang warnanya Perak.,Apa warna mobil Honda yang dibeli Dewi?,Perak
Siti Saputra lahir dan dibesarkan di kota Denpasar.,Di mana Siti Saputra lahir dan dibesarkan?,Denpasar
Kode rahasia untuk User_939 adalah 320479.,Apa kode rahasia untuk User_939?,320479
Bayu memiliki peliharaan Ikan yang diberi nama Daisy.,Siapa nama Ikan peliharaan Bayu?,Daisy
Lia Lim bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Lia Lim?,Penyanyi
Kode rahasia untuk User_626 adalah 377586.,Apa kode rahasia untuk User_626?,377586
Fitri baru saja membeli mobil Mitsubishi yang warnanya Abu-abu.,Apa warna mobil Mitsubishi yang dibeli Fitri?,Abu-abu
Tono memiliki peliharaan Kucing yang diberi nama Lucy.,Siapa nama Kucing peliharaan Tono?,Lucy
Doni Wibowo bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Doni Wibowo?,Pengusaha
Kendaraan sehari-hari Lia adalah mobil Chevrolet berwarna Hijau.,Apa merek dan warna mobil Lia?,Chevrolet berwarna Hijau
Maya baru saja membeli mobil BMW yang warnanya Cokelat.,Apa warna mobil BMW yang dibeli Maya?,Cokelat
Rudi baru saja membeli mobil Suzuki yang warnanya Cokelat.,Apa warna mobil Suzuki yang dibeli Rudi?,Cokelat
"Nama lengkap orang ini adalah Fitri Putra, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Fitri Putra
Nita Gunawan lahir dan dibesarkan di kota Medan.,Di mana Nita Gunawan lahir dan dibesarkan?,Medan
Iwan baru saja membeli mobil Mazda yang warnanya Merah.,Apa warna mobil Mazda yang dibeli Iwan?,Merah
Aris Setiawan bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Aris Setiawan?,Guru
Kode rahasia untuk User_150 adalah 108051.,Apa kode rahasia untuk User_150?,108051
Lia Hidayat lahir dan dibesarkan di kota Pekanbaru.,Di mana Lia Hidayat lahir dan dibesarkan?,Pekanbaru
Iwan memiliki peliharaan Burung yang diberi nama Coco.,Siapa nama Burung peliharaan Iwan?,Coco
Kendaraan sehari-hari Rudi adalah mobil Mitsubishi berwarna Hitam.,Apa merek dan warna mobil Rudi?,Mitsubishi berwarna Hitam
Rudi baru saja membeli mobil Hyundai yang warnanya Hijau.,Apa warna mobil Hyundai yang dibeli Rudi?,Hijau
Rini Putra bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Rini Putra?,Pengusaha
Aris Suryono lahir dan dibesarkan di kota Bandung.,Di mana Aris Suryono lahir dan dibesarkan?,Bandung
Rina Saputra bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Rina Saputra?,Atlet
Kode rahasia untuk User_805 adalah 120494.,Apa kode rahasia untuk User_805?,120494
Kode rahasia untuk User_494 adalah 311084.,Apa kode rahasia untuk User_494?,311084
Siti Purnama lahir dan dibesarkan di kota Medan.,Di mana Siti Purnama lahir dan dibesarkan?,Medan
Kode rahasia untuk User_664 adalah 801311.,Apa kode rahasia untuk User_664?,801311
Hadi baru saja membeli mobil Mazda yang warnanya Ungu.,Apa warna mobil Mazda yang dibeli Hadi?,Ungu
Nita baru saja membeli mobil Ford yang warnanya Perak.,Apa warna mobil Ford yang dibeli Nita?,Perak
Wati Nugroho lahir dan dibesarkan di kota Manado.,Di mana Wati Nugroho lahir dan dibesarkan?,Manado
Bayu memiliki peliharaan Kucing yang diberi nama Leo.,Siapa nama Kucing peliharaan Bayu?,Leo
"Nama lengkap orang ini adalah Wati Santoso, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Wati Santoso
Kode rahasia untuk User_935 adalah 540181.,Apa kode rahasia untuk User_935?,540181
"Nama lengkap orang ini adalah Mega Hidayat, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Mega Hidayat
Rudi Kusuma lahir dan dibesarkan di kota Kupang.,Di mana Rudi Kusuma lahir dan dibesarkan?,Kupang
Joko baru saja membeli mobil Toyota yang warnanya Biru.,Apa warna mobil Toyota yang dibeli Joko?,Biru
Ayu Nasution bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Ayu Nasution?,Pramugari
"Nama lengkap orang ini adalah Rina Nugroho, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Rina Nugroho
Tono Nasution lahir dan dibesarkan di kota Balikpapan.,Di mana Tono Nasution lahir dan dibesarkan?,Balikpapan
Bayu baru saja membeli mobil Hyundai yang warnanya Perak.,Apa warna mobil Hyundai yang dibeli Bayu?,Perak
Budi Nugroho bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Budi Nugroho?,Pilot
"Nama lengkap orang ini adalah Rudi Saputra, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Rudi Saputra
Kendaraan sehari-hari Siti adalah mobil Honda berwarna Biru.,Apa merek dan warna mobil Siti?,Honda berwarna Biru
Ayu memiliki peliharaan Bebek yang diberi nama Daisy.,Siapa nama Bebek peliharaan Ayu?,Daisy
Kendaraan sehari-hari Mega adalah mobil Ford berwarna Biru.,Apa merek dan warna mobil Mega?,Ford berwarna Biru
"Nama lengkap orang ini adalah Budi Halim, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Budi Halim
Lia Lim bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Lia Lim?,Wartawan
Kode rahasia untuk User_622 adalah 534115.,Apa kode rahasia untuk User_622?,534115
Fitri Lim lahir dan dibesarkan di kota Bandung.,Di mana Fitri Lim lahir dan dibesarkan?,Bandung
"Nama lengkap orang ini adalah Doni Hidayat, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Doni Hidayat
Siti Kusuma bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Siti Kusuma?,Petani
Rini baru saja membeli mobil Toyota yang warnanya Perak.,Apa warna mobil Toyota yang dibeli Rini?,Perak
Budi Saputra lahir dan dibesarkan di kota Mataram.,Di mana Budi Saputra lahir dan dibesarkan?,Mataram
Kode rahasia untuk User_418 adalah 447811.,Apa kode rahasia untuk User_418?,447811
Ayu baru saja membeli mobil Ford yang warnanya Emas.,Apa warna mobil Ford yang dibeli Ayu?,Emas
Dedy memiliki peliharaan Hamster yang diberi nama Nemo.,Siapa nama Hamster peliharaan Dedy?,Nemo
Rina memiliki peliharaan Ayam yang diberi nama Mochi.,Siapa nama Ayam peliharaan Rina?,Mochi
Doni Setiawan lahir dan dibesarkan di kota Bandung.,Di mana Doni Setiawan lahir dan dibesarkan?,Bandung
Kode rahasia untuk User_948 adalah 342020.,Apa kode rahasia untuk User_948?,342020
"Nama lengkap orang ini adalah Fitri Setiawan, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Fitri Setiawan
Rina Setiawan bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Rina Setiawan?,Wartawan
Wati baru saja membeli mobil Audi yang warnanya Merah.,Apa warna mobil Audi yang dibeli Wati?,Merah
Kendaraan sehari-hari Sari adalah mobil Kia berwarna Perak.,Apa merek dan warna mobil Sari?,Kia berwarna Perak
"Nama lengkap orang ini adalah Nita Hidayat, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Nita Hidayat
"Nama lengkap orang ini adalah Fitri Simanjuntak, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Fitri Simanjuntak
Siti Hidayat bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Siti Hidayat?,Desainer
Kendaraan sehari-hari Iwan adalah mobil Chevrolet berwarna Merah Muda.,Apa merek dan warna mobil Iwan?,Chevrolet berwarna Merah Muda
Kode rahasia untuk User_134 adalah 824174.,Apa kode rahasia untuk User_134?,824174
Kode rahasia untuk User_238 adalah 567785.,Apa kode rahasia untuk User_238?,567785
Aris baru saja membeli mobil Hyundai yang warnanya Oranye.,Apa warna mobil Hyundai yang dibeli Aris?,Oranye
Kendaraan sehari-hari Siti adalah mobil Suzuki berwarna Hitam.,Apa merek dan warna mobil Siti?,Suzuki berwarna Hitam
Dedy Utama lahir dan dibesarkan di kota Surabaya.,Di mana Dedy Utama lahir dan dibesarkan?,Surabaya
"Nama lengkap orang ini adalah Nina Nugroho, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Nina Nugroho
"Nama lengkap orang ini adalah Eko Nugroho, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Eko Nugroho
Rina memiliki peliharaan Kura-kura yang diberi nama Mochi.,Siapa nama Kura-kura peliharaan Rina?,Mochi
Sari baru saja membeli mobil Toyota yang warnanya Cokelat.,Apa warna mobil Toyota yang dibeli Sari?,Cokelat
Sari Santoso bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Sari Santoso?,Petani
Dedy Kusuma bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Dedy Kusuma?,Penulis
Dedy Simanjuntak bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Dedy Simanjuntak?,Koki
Hadi Kusuma lahir dan dibesarkan di kota Bandung.,Di mana Hadi Kusuma lahir dan dibesarkan?,Bandung
Siti Halim bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Siti Halim?,Wartawan
Kode rahasia untuk User_692 adalah 389184.,Apa kode rahasia untuk User_692?,389184
Ayu baru saja membeli mobil Mazda yang warnanya Abu-abu.,Apa warna mobil Mazda yang dibeli Ayu?,Abu-abu
"Nama lengkap orang ini adalah Mega Rahman, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Mega Rahman
"Nama lengkap orang ini adalah Rini Setiawan, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Rini Setiawan
Kendaraan sehari-hari Eko adalah mobil Nissan berwarna Putih.,Apa merek dan warna mobil Eko?,Nissan berwarna Putih
Kode rahasia untuk User_848 adalah 424506.,Apa kode rahasia untuk User_848?,424506
"Nama lengkap orang ini adalah Joko Suryono, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Joko Suryono
"Nama lengkap orang ini adalah Agus Santoso, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Agus Santoso
Kendaraan sehari-hari Maya adalah mobil Honda berwarna Emas.,Apa merek dan warna mobil Maya?,Honda berwarna Emas
Kendaraan sehari-hari Andi adalah mobil Mercedes-Benz berwarna Merah.,Apa merek dan warna mobil Andi?,Mercedes-Benz berwarna Merah
Rudi Gunawan bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Rudi Gunawan?,Penulis
Eko Utama lahir dan dibesarkan di kota Balikpapan.,Di mana Eko Utama lahir dan dibesarkan?,Balikpapan
Fitri Putra bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Fitri Putra?,Penulis
Dian Setiawan bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Dian Setiawan?,Seniman
Kendaraan sehari-hari Sari adalah mobil Toyota berwarna Putih.,Apa merek dan warna mobil Sari?,Toyota berwarna Putih
Kode rahasia untuk User_350 adalah 937537.,Apa kode rahasia untuk User_350?,937537
Kode rahasia untuk User_982 adalah 493183.,Apa kode rahasia untuk User_982?,493183
Iwan baru saja membeli mobil Mazda yang warnanya Perak.,Apa warna mobil Mazda yang dibeli Iwan?,Perak
Aris memiliki peliharaan Anjing yang diberi nama Zorro.,Siapa nama Anjing peliharaan Aris?,Zorro
Kode rahasia untuk User_871 adalah 356469.,Apa kode rahasia untuk User_871?,356469
"Nama lengkap orang ini adalah Fitri Wibowo, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Fitri Wibowo
"Nama lengkap orang ini adalah Siti Siregar, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Siti Siregar
Hadi Santoso bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Hadi Santoso?,Pengusaha
Kode rahasia untuk User_670 adalah 804380.,Apa kode rahasia untuk User_670?,804380
Kode rahasia untuk User_828 adalah 689063.,Apa kode rahasia untuk User_828?,689063
Siti baru saja membeli mobil Mitsubishi yang warnanya Perak.,Apa warna mobil Mitsubishi yang dibeli Siti?,Perak
"Nama lengkap orang ini adalah Mega Nasution, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Mega Nasution
Dedy Wijaya lahir dan dibesarkan di kota Makassar.,Di mana Dedy Wijaya lahir dan dibesarkan?,Makassar
Fitri memiliki peliharaan Anjing yang diberi nama Rocky.,Siapa nama Anjing peliharaan Fitri?,Rocky
Kode rahasia untuk User_766 adalah 929916.,Apa kode rahasia untuk User_766?,929916
Kode rahasia untuk User_299 adalah 897136.,Apa kode rahasia untuk User_299?,897136
Nina Kusuma bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Nina Kusuma?,Guru
Rio Hidayat bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Rio Hidayat?,Penyanyi
Hendra Nugroho lahir dan dibesarkan di kota Denpasar.,Di mana Hendra Nugroho lahir dan dibesarkan?,Denpasar
Rina baru saja membeli mobil Kia yang warnanya Oranye.,Apa warna mobil Kia yang dibeli Rina?,Oranye
Aris memiliki peliharaan Kura-kura yang diberi nama Daisy.,Siapa nama Kura-kura peliharaan Aris?,Daisy
Kode rahasia untuk User_555 adalah 901108.,Apa kode rahasia untuk User_555?,901108
Kendaraan sehari-hari Budi adalah mobil Audi berwarna Kuning.,Apa merek dan warna mobil Budi?,Audi berwarna Kuning
Kendaraan sehari-hari Rina adalah mobil Hyundai berwarna Merah.,Apa merek dan warna mobil Rina?,Hyundai berwarna Merah
Kendaraan sehari-hari Mega adalah mobil Nissan berwarna Hitam.,Apa merek dan warna mobil Mega?,Nissan berwarna Hitam
"Nama lengkap orang ini adalah Ayu Putra, dan dia berasal dari Yogyakarta.",Siapa nama lengkap orang yang berasal dari Yogyakarta ini?,Ayu Putra
Nina Putra bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Nina Putra?,Wartawan
Kode rahasia untuk User_737 adalah 966824.,Apa kode rahasia untuk User_737?,966824
Kode rahasia untuk User_563 adalah 158548.,Apa kode rahasia untuk User_563?,158548
Putri memiliki peliharaan Kucing yang diberi nama Mochi.,Siapa nama Kucing peliharaan Putri?,Mochi
Wati memiliki peliharaan Anjing yang diberi nama Leo.,Siapa nama Anjing peliharaan Wati?,Leo
Nina Wibowo bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Nina Wibowo?,Koki
Bayu Saputra lahir dan dibesarkan di kota Banjarmasin.,Di mana Bayu Saputra lahir dan dibesarkan?,Banjarmasin
Kode rahasia untuk User_959 adalah 810453.,Apa kode rahasia untuk User_959?,810453
Kode rahasia untuk User_786 adalah 228823.,Apa kode rahasia untuk User_786?,228823
Joko memiliki peliharaan Anjing yang diberi nama Lucy.,Siapa nama Anjing peliharaan Joko?,Lucy
Lia Setiawan lahir dan dibesarkan di kota Manado.,Di mana Lia Setiawan lahir dan dibesarkan?,Manado
Kendaraan sehari-hari Wati adalah mobil BMW berwarna Emas.,Apa merek dan warna mobil Wati?,BMW berwarna Emas
Mega Rahman lahir dan dibesarkan di kota Surabaya.,Di mana Mega Rahman lahir dan dibesarkan?,Surabaya
Hendra Purnama bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Hendra Purnama?,Nelayan
Kode rahasia untuk User_165 adalah 500033.,Apa kode rahasia untuk User_165?,500033
"Nama lengkap orang ini adalah Fitri Kusuma, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Fitri Kusuma
Joko baru saja membeli mobil Mazda yang warnanya Abu-abu.,Apa warna mobil Mazda yang dibeli Joko?,Abu-abu
Wati Pratama lahir dan dibesarkan di kota Mataram.,Di mana Wati Pratama lahir dan dibesarkan?,Mataram
Kendaraan sehari-hari Lia adalah mobil Mercedes-Benz berwarna Kuning.,Apa merek dan warna mobil Lia?,Mercedes-Benz berwarna Kuning
"Nama lengkap orang ini adalah Dewi Pratama, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Dewi Pratama
Kendaraan sehari-hari Nina adalah mobil Toyota berwarna Abu-abu.,Apa merek dan warna mobil Nina?,Toyota berwarna Abu-abu
Kode rahasia untuk User_674 adalah 833592.,Apa kode rahasia untuk User_674?,833592
Fitri Utama lahir dan dibesarkan di kota Semarang.,Di mana Fitri Utama lahir dan dibesarkan?,Semarang
Lia Simanjuntak bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Lia Simanjuntak?,Programmer
Kendaraan sehari-hari Siti adalah mobil Mazda berwarna Merah.,Apa merek dan warna mobil Siti?,Mazda berwarna Merah
Rudi baru saja membeli mobil Kia yang warnanya Putih.,Apa warna mobil Kia yang dibeli Rudi?,Putih
Rudi Utama lahir dan dibesarkan di kota Ambon.,Di mana Rudi Utama lahir dan dibesarkan?,Ambon
Dewi memiliki peliharaan Musang yang diberi nama Rocky.,Siapa nama Musang peliharaan Dewi?,Rocky
Rudi Utama bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Rudi Utama?,Desainer
Kode rahasia untuk User_670 adalah 525577.,Apa kode rahasia untuk User_670?,525577
Maya baru saja membeli mobil Nissan yang warnanya Merah Muda.,Apa warna mobil Nissan yang dibeli Maya?,Merah Muda
"Nama lengkap orang ini adalah Hadi Putra, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Hadi Putra
Kode rahasia untuk User_460 adalah 216044.,Apa kode rahasia untuk User_460?,216044
Maya Siregar lahir dan dibesarkan di kota Malang.,Di mana Maya Siregar lahir dan dibesarkan?,Malang
