fact_id,query_id,write_fact_A,query_B,expected_output_A
User_028489_F3,User_028489_Q3,Mobil yang dimiliki User_028489 adalah Daihatsu berwarna Abu-abu.,Apa merek mobil User_028489?,Daihatsu
User_009283_F1,User_009283_Q1,User_009283 bekerja sebagai Seniman.,Apa pekerjaan User_009283?,Seniman
User_006531_F1,User_006531_Q1,User_006531 bekerja sebagai Penulis.,Apa pekerjaan User_006531?,Penulis
User_023996_F0,User_023996_Q0,User_023996 tinggal di kota Makassar.,Di kota mana User_023996 tinggal?,Makassar
User_000695_F0,User_000695_Q0,User_000695 tinggal di kota Banjarmasin.,Di kota mana User_000695 tinggal?,Banjarmasin
User_022981_F4,User_022981_Q4,User_022981 baru membeli Suzuki warna Hitam.,Apa warna mobil User_022981?,Hitam
User_013487_F2,User_013487_Q2,User_013487 memiliki peliharaan Hamster bernama Max.,Siapa nama peliharaan User_013487?,Max
User_019902_F4,User_019902_Q4,User_019902 baru membeli Ford warna Hijau.,Apa warna mobil User_019902?,Hijau
User_019713_F1,User_019713_Q1,User_019713 bekerja sebagai Penulis.,Apa pekerjaan User_019713?,Penulis
User_025375_F3,User_025375_Q3,Mobil yang dimiliki User_025375 adalah Hyundai berwarna Cokelat.,Apa merek mobil User_025375?,Hyundai
User_004764_F0,User_004764_Q0,User_004764 tinggal di kota Yogyakarta.,Di kota mana User_004764 tinggal?,Yogyakarta
User_010408_F4,User_010408_Q4,User_010408 baru membeli Daihatsu warna Biru.,Apa warna mobil User_010408?,Biru
User_014882_F0,User_014882_Q0,User_014882 tinggal di kota Bandung.,Di kota mana User_014882 tinggal?,Bandung
User_003706_F3,User_003706_Q3,Mobil yang dimiliki User_003706 adalah Honda berwarna Hijau.,Apa merek mobil User_003706?,Honda
User_015989_F0,User_015989_Q0,User_015989 tinggal di kota Kupang.,Di kota mana User_015989 tinggal?,Kupang
User_027058_F0,User_027058_Q0,User_027058 tinggal di kota Jakarta.,Di kota mana User_027058 tinggal?,Jakarta
User_019538_F1,User_019538_Q1,User_019538 bekerja sebagai Tentara.,Apa pekerjaan User_019538?,Tentara
User_003135_F0,User_003135_Q0,User_003135 tinggal di kota Pekanbaru.,Di kota mana User_003135 tinggal?,Pekanbaru
User_010584_F0,User_010584_Q0,User_010584 tinggal di kota Malang.,Di kota mana User_010584 tinggal?,Malang
User_003654_F2,User_003654_Q2,User_003654 memiliki peliharaan Burung bernama Leo.,Siapa nama peliharaan User_003654?,Leo
User_023951_F4,User_023951_Q4,User_023951 baru membeli Honda warna Hijau.,Apa warna mobil User_023951?,Hijau
User_004586_F1,User_004586_Q1,User_004586 bekerja sebagai Pilot.,Apa pekerjaan User_004586?,Pilot
User_012174_F3,User_012174_Q3,Mobil yang dimiliki User_012174 adalah Mazda berwarna Putih.,Apa merek mobil User_012174?,Mazda
User_015068_F1,User_015068_Q1,User_015068 bekerja sebagai Guru.,Apa pekerjaan User_015068?,Guru
User_011059_F3,User_011059_Q3,Mobil yang dimiliki User_011059 adalah Hyundai berwarna Biru.,Apa merek mobil User_011059?,Hyundai
User_002133_F0,User_002133_Q0,User_002133 tinggal di kota Balikpapan.,Di kota mana User_002133 tinggal?,Balikpapan
User_017805_F3,User_017805_Q3,Mobil yang dimiliki User_017805 adalah Suzuki berwarna Abu-abu.,Apa merek mobil User_017805?,Suzuki
User_007221_F0,User_007221_Q0,User_007221 tinggal di kota Ambon.,Di kota mana User_007221 tinggal?,Ambon
User_023352_F1,User_023352_Q1,User_023352 bekerja sebagai Koki.,Apa pekerjaan User_023352?,Koki
User_000379_F4,User_000379_Q4,User_000379 baru membeli Nissan warna Abu-abu.,Apa warna mobil User_000379?,Abu-abu
User_007262_F2,User_007262_Q2,User_007262 memiliki peliharaan Kelinci bernama Milo.,Siapa nama peliharaan User_007262?,Milo
User_001054_F0,User_001054_Q0,User_001054 tinggal di kota Makassar.,Di kota mana User_001054 tinggal?,Makassar
User_002069_F0,User_002069_Q0,User_002069 tinggal di kota Semarang.,Di kota mana User_002069 tinggal?,Semarang
User_001813_F2,User_001813_Q2,User_001813 memiliki peliharaan Musang bernama Bella.,Siapa nama peliharaan User_001813?,Bella
User_007968_F3,User_007968_Q3,Mobil yang dimiliki User_007968 adalah Mitsubishi berwarna Hijau.,Apa merek mobil User_007968?,Mitsubishi
User_010359_F4,User_010359_Q4,User_010359 baru membeli Honda warna Merah.,Apa warna mobil User_010359?,Merah
User_001603_F2,User_001603_Q2,User_001603 memiliki peliharaan Kelinci bernama Simba.,Siapa nama peliharaan User_001603?,Simba
User_021794_F4,User_021794_Q4,User_021794 baru membeli Mazda warna Putih.,Apa warna mobil User_021794?,Putih
User_018563_F0,User_018563_Q0,User_018563 tinggal di kota Makassar.,Di kota mana User_018563 tinggal?,Makassar
User_028943_F3,User_028943_Q3,Mobil yang dimiliki User_028943 adalah Ford berwarna Putih.,Apa merek mobil User_028943?,Ford
User_002628_F0,User_002628_Q0,User_002628 tinggal di kota Makassar.,Di kota mana User_002628 tinggal?,Makassar
User_012343_F2,User_012343_Q2,User_012343 memiliki peliharaan Kucing bernama Kiko.,Siapa nama peliharaan User_012343?,Kiko
User_015083_F0,User_015083_Q0,User_015083 tinggal di kota Ambon.,Di kota mana User_015083 tinggal?,Ambon
User_019798_F0,User_019798_Q0,User_019798 tinggal di kota Padang.,Di kota mana User_019798 tinggal?,Padang
User_002443_F3,User_002443_Q3,Mobil yang dimiliki User_002443 adalah Mazda berwarna Hitam.,Apa merek mobil User_002443?,Mazda
User_004959_F4,User_004959_Q4,User_004959 baru membeli Mitsubishi warna Putih.,Apa warna mobil User_004959?,Putih
User_005778_F0,User_005778_Q0,User_005778 tinggal di kota Pontianak.,Di kota mana User_005778 tinggal?,Pontianak
User_010821_F2,User_010821_Q2,User_010821 memiliki peliharaan Kucing bernama Mochi.,Siapa nama peliharaan User_010821?,Mochi
User_026622_F4,User_026622_Q4,User_026622 baru membeli Daihatsu warna Putih.,Apa warna mobil User_026622?,Putih
User_027730_F1,User_027730_Q1,User_027730 bekerja sebagai Insinyur.,Apa pekerjaan User_027730?,Insinyur
User_028176_F3,User_028176_Q3,Mobil yang dimiliki User_028176 adalah Nissan berwarna Ungu.,Apa merek mobil User_028176?,Nissan
User_017102_F1,User_017102_Q1,User_017102 bekerja sebagai Nelayan.,Apa pekerjaan User_017102?,Nelayan
User_014854_F0,User_014854_Q0,User_014854 tinggal di kota Yogyakarta.,Di kota mana User_014854 tinggal?,Yogyakarta
User_003997_F2,User_003997_Q2,User_003997 memiliki peliharaan Burung bernama Milo.,Siapa nama peliharaan User_003997?,Milo
User_005732_F0,User_005732_Q0,User_005732 tinggal di kota Malang.,Di kota mana User_005732 tinggal?,Malang
User_008948_F1,User_008948_Q1,User_008948 bekerja sebagai Polisi.,Apa pekerjaan User_008948?,Polisi
User_005355_F3,User_005355_Q3,Mobil yang dimiliki User_005355 adalah Ford berwarna Oranye.,Apa merek mobil User_005355?,Ford
User_006243_F4,User_006243_Q4,User_006243 baru membeli Ford warna Cokelat.,Apa warna mobil User_006243?,Cokelat
User_012180_F4,User_012180_Q4,User_012180 baru membeli Honda warna Ungu.,Apa warna mobil User_012180?,Ungu
User_004550_F4,User_004550_Q4,User_004550 baru membeli Toyota warna Biru.,Apa warna mobil User_004550?,Biru
User_018226_F3,User_018226_Q3,Mobil yang dimiliki User_018226 adalah Nissan berwarna Hitam.,Apa merek mobil User_018226?,Nissan
User_018637_F4,User_018637_Q4,User_018637 baru membeli Honda warna Putih.,Apa warna mobil User_018637?,Putih
User_013601_F2,User_013601_Q2,User_013601 memiliki peliharaan Bebek bernama Molly.,Siapa nama peliharaan User_013601?,Molly
User_016836_F3,User_016836_Q3,Mobil yang dimiliki User_016836 adalah Hyundai berwarna Kuning.,Apa merek mobil User_016836?,Hyundai
User_026343_F1,User_026343_Q1,User_026343 bekerja sebagai Dokter.,Apa pekerjaan User_026343?,Dokter
User_010346_F3,User_010346_Q3,Mobil yang dimiliki User_010346 adalah Nissan berwarna Kuning.,Apa merek mobil User_010346?,Nissan
User_028109_F4,User_028109_Q4,User_028109 baru membeli Toyota warna Putih.,Apa warna mobil User_028109?,Putih
User_004984_F2,User_004984_Q2,User_004984 memiliki peliharaan Kelinci bernama Leo.,Siapa nama peliharaan User_004984?,Leo
User_008896_F1,User_008896_Q1,User_008896 bekerja sebagai Nelayan.,Apa pekerjaan User_008896?,Nelayan
User_022762_F3,User_022762_Q3,Mobil yang dimiliki User_022762 adalah Mitsubishi berwarna Oranye.,Apa merek mobil User_022762?,Mitsubishi
User_009564_F4,User_009564_Q4,User_009564 baru membeli Nissan warna Kuning.,Apa warna mobil User_009564?,Kuning
User_010457_F0,User_010457_Q0,User_010457 tinggal di kota Semarang.,Di kota mana User_010457 tinggal?,Semarang
User_003872_F4,User_003872_Q4,User_003872 baru membeli Ford warna Ungu.,Apa warna mobil User_003872?,Ungu
User_012856_F2,User_012856_Q2,User_012856 memiliki peliharaan Ayam bernama Bella.,Siapa nama peliharaan User_012856?,Bella
User_002484_F4,User_002484_Q4,User_002484 baru membeli Mazda warna Merah.,Apa warna mobil User_002484?,Merah
User_004984_F1,User_004984_Q1,User_004984 bekerja sebagai Tentara.,Apa pekerjaan User_004984?,Tentara
User_014015_F1,User_014015_Q1,User_014015 bekerja sebagai Petani.,Apa pekerjaan User_014015?,Petani
User_020064_F3,User_020064_Q3,Mobil yang dimiliki User_020064 adalah Hyundai berwarna Kuning.,Apa merek mobil User_020064?,Hyundai
User_006035_F4,User_006035_Q4,User_006035 baru membeli Daihatsu warna Oranye.,Apa warna mobil User_006035?,Oranye
User_002374_F3,User_002374_Q3,Mobil yang dimiliki User_002374 adalah Daihatsu berwarna Oranye.,Apa merek mobil User_002374?,Daihatsu
User_016699_F4,User_016699_Q4,User_016699 baru membeli Hyundai warna Ungu.,Apa warna mobil User_016699?,Ungu
User_002267_F1,User_002267_Q1,User_002267 bekerja sebagai Dokter.,Apa pekerjaan User_002267?,Dokter
User_019430_F2,User_019430_Q2,User_019430 memiliki peliharaan Burung bernama Coco.,Siapa nama peliharaan User_019430?,Coco
User_017314_F1,User_017314_Q1,User_017314 bekerja sebagai Wartawan.,Apa pekerjaan User_017314?,Wartawan
User_021656_F2,User_021656_Q2,User_021656 memiliki peliharaan Burung bernama Milo.,Siapa nama peliharaan User_021656?,Milo
User_019011_F1,User_019011_Q1,User_019011 bekerja sebagai Pilot.,Apa pekerjaan User_019011?,Pilot
User_022464_F3,User_022464_Q3,Mobil yang dimiliki User_022464 adalah Honda berwarna Oranye.,Apa merek mobil User_022464?,Honda
User_029788_F0,User_029788_Q0,User_029788 tinggal di kota Samarinda.,Di kota mana User_029788 tinggal?,Samarinda
User_017542_F3,User_017542_Q3,Mobil yang dimiliki User_017542 adalah Ford berwarna Kuning.,Apa merek mobil User_017542?,Ford
User_015042_F1,User_015042_Q1,User_015042 bekerja sebagai Pilot.,Apa pekerjaan User_015042?,Pilot
User_021655_F4,User_021655_Q4,User_021655 baru membeli Toyota warna Merah.,Apa warna mobil User_021655?,Merah
User_006537_F0,User_006537_Q0,User_006537 tinggal di kota Makassar.,Di kota mana User_006537 tinggal?,Makassar
User_008145_F4,User_008145_Q4,User_008145 baru membeli Toyota warna Hijau.,Apa warna mobil User_008145?,Hijau
User_018255_F4,User_018255_Q4,User_018255 baru membeli Mazda warna Putih.,Apa warna mobil User_018255?,Putih
User_001210_F3,User_001210_Q3,Mobil yang dimiliki User_001210 adalah Mitsubishi berwarna Ungu.,Apa merek mobil User_001210?,Mitsubishi
User_019447_F1,User_019447_Q1,User_019447 bekerja sebagai Koki.,Apa pekerjaan User_019447?,Koki
User_001727_F4,User_001727_Q4,User_001727 baru membeli Hyundai warna Putih.,Apa warna mobil User_001727?,Putih
User_019402_F1,User_019402_Q1,User_019402 bekerja sebagai Desainer.,Apa pekerjaan User_019402?,Desainer
User_022347_F1,User_022347_Q1,User_022347 bekerja sebagai Guru.,Apa pekerjaan User_022347?,Guru
User_023688_F3,User_023688_Q3,Mobil yang dimiliki User_023688 adalah Mazda berwarna Ungu.,Apa merek mobil User_023688?,Mazda
User_025910_F1,User_025910_Q1,User_025910 bekerja sebagai Petani.,Apa pekerjaan User_025910?,Petani
User_019010_F1,User_019010_Q1,User_019010 bekerja sebagai Desainer.,Apa pekerjaan User_019010?,Desainer
User_015274_F3,User_015274_Q3,Mobil yang dimiliki User_015274 adalah Nissan berwarna Kuning.,Apa merek mobil User_015274?,Nissan
User_013883_F3,User_013883_Q3,Mobil yang dimiliki User_013883 adalah Honda berwarna Hitam.,Apa merek mobil User_013883?,Honda
User_003780_F4,User_003780_Q4,User_003780 baru membeli Hyundai warna Hijau.,Apa warna mobil User_003780?,Hijau
User_023641_F3,User_023641_Q3,Mobil yang dimiliki User_023641 adalah Honda berwarna Biru.,Apa merek mobil User_023641?,Honda
User_027592_F3,User_027592_Q3,Mobil yang dimiliki User_027592 adalah Ford berwarna Ungu.,Apa merek mobil User_027592?,Ford
User_017069_F1,User_017069_Q1,User_017069 bekerja sebagai Seniman.,Apa pekerjaan User_017069?,Seniman
User_024031_F0,User_024031_Q0,User_024031 tinggal di kota Manado.,Di kota mana User_024031 tinggal?,Manado
User_004842_F0,User_004842_Q0,User_004842 tinggal di kota Padang.,Di kota mana User_004842 tinggal?,Padang
User_005887_F3,User_005887_Q3,Mobil yang dimiliki User_005887 adalah Nissan berwarna Merah.,Apa merek mobil User_005887?,Nissan
User_012012_F1,User_012012_Q1,User_012012 bekerja sebagai Programmer.,Apa pekerjaan User_012012?,Programmer
User_017884_F3,User_017884_Q3,Mobil yang dimiliki User_017884 adalah BMW berwarna Hijau.,Apa merek mobil User_017884?,BMW
User_024931_F1,User_024931_Q1,User_024931 bekerja sebagai Seniman.,Apa pekerjaan User_024931?,Seniman
User_009862_F0,User_009862_Q0,User_009862 tinggal di kota Surabaya.,Di kota mana User_009862 tinggal?,Surabaya
User_024673_F4,User_024673_Q4,User_024673 baru membeli Toyota warna Cokelat.,Apa warna mobil User_024673?,Cokelat
User_012104_F3,User_012104_Q3,Mobil yang dimiliki User_012104 adalah Ford berwarna Cokelat.,Apa merek mobil User_012104?,Ford
User_013357_F0,User_013357_Q0,User_013357 tinggal di kota Denpasar.,Di kota mana User_013357 tinggal?,Denpasar
User_016809_F2,User_016809_Q2,User_016809 memiliki peliharaan Kucing bernama Max.,Siapa nama peliharaan User_016809?,Max
User_022245_F2,User_022245_Q2,User_022245 memiliki peliharaan Ikan bernama Oyen.,Siapa nama peliharaan User_022245?,Oyen
User_020375_F0,User_020375_Q0,User_020375 tinggal di kota Ambon.,Di kota mana User_020375 tinggal?,Ambon
User_014294_F4,User_014294_Q4,User_014294 baru membeli Toyota warna Kuning.,Apa warna mobil User_014294?,Kuning
User_001264_F0,User_001264_Q0,User_001264 tinggal di kota Palembang.,Di kota mana User_001264 tinggal?,Palembang
User_028884_F1,User_028884_Q1,User_028884 bekerja sebagai Polisi.,Apa pekerjaan User_028884?,Polisi
User_027175_F4,User_027175_Q4,User_027175 baru membeli Daihatsu warna Hitam.,Apa warna mobil User_027175?,Hitam
User_012227_F0,User_012227_Q0,User_012227 tinggal di kota Denpasar.,Di kota mana User_012227 tinggal?,Denpasar
User_001441_F4,User_001441_Q4,User_001441 baru membeli Daihatsu warna Cokelat.,Apa warna mobil User_001441?,Cokelat
User_003559_F4,User_003559_Q4,User_003559 baru membeli Mitsubishi warna Hitam.,Apa warna mobil User_003559?,Hitam
User_000661_F2,User_000661_Q2,User_000661 memiliki peliharaan Anjing bernama Charlie.,Siapa nama peliharaan User_000661?,Charlie
User_002525_F1,User_002525_Q1,User_002525 bekerja sebagai Koki.,Apa pekerjaan User_002525?,Koki
User_005016_F1,User_005016_Q1,User_005016 bekerja sebagai Polisi.,Apa pekerjaan User_005016?,Polisi
User_029657_F4,User_029657_Q4,User_029657 baru membeli BMW warna Cokelat.,Apa warna mobil User_029657?,Cokelat
User_012890_F2,User_012890_Q2,User_012890 memiliki peliharaan Hamster bernama Bella.,Siapa nama peliharaan User_012890?,Bella
User_011281_F0,User_011281_Q0,User_011281 tinggal di kota Yogyakarta.,Di kota mana User_011281 tinggal?,Yogyakarta
User_004911_F3,User_004911_Q3,Mobil yang dimiliki User_004911 adalah Daihatsu berwarna Merah.,Apa merek mobil User_004911?,Daihatsu
User_017329_F4,User_017329_Q4,User_017329 baru membeli Suzuki warna Hijau.,Apa warna mobil User_017329?,Hijau
User_025772_F3,User_025772_Q3,Mobil yang dimiliki User_025772 adalah Hyundai berwarna Kuning.,Apa merek mobil User_025772?,Hyundai
User_002211_F4,User_002211_Q4,User_002211 baru membeli Nissan warna Cokelat.,Apa warna mobil User_002211?,Cokelat
User_011640_F2,User_011640_Q2,User_011640 memiliki peliharaan Ikan bernama Molly.,Siapa nama peliharaan User_011640?,Molly
User_002999_F4,User_002999_Q4,User_002999 baru membeli Nissan warna Putih.,Apa warna mobil User_002999?,Putih
User_015819_F4,User_015819_Q4,User_015819 baru membeli Honda warna Hitam.,Apa warna mobil User_015819?,Hitam
User_019668_F4,User_019668_Q4,User_019668 baru membeli Daihatsu warna Merah.,Apa warna mobil User_019668?,Merah
User_017184_F1,User_017184_Q1,User_017184 bekerja sebagai Guru.,Apa pekerjaan User_017184?,Guru
User_017911_F3,User_017911_Q3,Mobil yang dimiliki User_017911 adalah Daihatsu berwarna Oranye.,Apa merek mobil User_017911?,Daihatsu
User_023091_F2,User_023091_Q2,User_023091 memiliki peliharaan Kura-kura bernama Leo.,Siapa nama peliharaan User_023091?,Leo
User_026208_F4,User_026208_Q4,User_026208 baru membeli Mazda warna Oranye.,Apa warna mobil User_026208?,Oranye
User_020186_F0,User_020186_Q0,User_020186 tinggal di kota Makassar.,Di kota mana User_020186 tinggal?,Makassar
User_027309_F4,User_027309_Q4,User_027309 baru membeli Honda warna Abu-abu.,Apa warna mobil User_027309?,Abu-abu
User_024696_F2,User_024696_Q2,User_024696 memiliki peliharaan Bebek bernama Mochi.,Siapa nama peliharaan User_024696?,Mochi
User_016315_F4,User_016315_Q4,User_016315 baru membeli BMW warna Abu-abu.,Apa warna mobil User_016315?,Abu-abu
User_007777_F1,User_007777_Q1,User_007777 bekerja sebagai Polisi.,Apa pekerjaan User_007777?,Polisi
User_017412_F2,User_017412_Q2,User_017412 memiliki peliharaan Kelinci bernama Daisy.,Siapa nama peliharaan User_017412?,Daisy
User_011589_F3,User_011589_Q3,Mobil yang dimiliki User_011589 adalah Hyundai berwarna Biru.,Apa merek mobil User_011589?,Hyundai
